text,rating
ok.....................................,4
terimakasih barang sdh diterima,4
Unit nya sudah sampai....thanks,4
Barang sudah sampai.. terima kasih,3
ga nyampe sejam dr mulai transaksi...udah nyampe rumah...mksh,5
"good.......cepat, packing aman.....",5
Barang sangat bagus sesuai diskripsi,5
mantap sampai dengan aman gan.............................,5
barang udah nyampe om makasihhhhh,5
recomended....................................,5
"barang sesuai, pengiriman cepat, ok",5
mantab... fast respone.. tx u..,5
"Barang bagus, packing cukup, kurir ramah",5
Mantapppp banget ......,5
produk sesuai dan bagus. thanks,5
"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",1
Terima kasih semoga bermanfaat..,5
Barang sesuai gambar dan diterima dalam kondisi baik,5
"Trmksih banyak juragan....
Atas kerjasamanya.....",5
Keren produk nya mantaps,5
Barangnya sesuai syn digambar,4
"barang bagus...packing rapi,pokoknya top bgt",5
ok..................     . ..     .         ..,5
Sesuai dengan apa yg sudah dijelaskan pada detail produk,5
"Barang cepat sampai, tapi belum dicoba, besoklah kucoba dulu ya. baru testi lagi. thx",5
Fast respon. Barang sesuai dengan di gambar,3
"Barang bagus,pengiriman cepat,recomended",5
barang dah nyampek. trimakasih,4
barang sudah diterima dengan baik dan sesuai,5
"cepet respon'a
pesen pagi, siang udh sampe",5
"mantab...cepat sekali pengiriman
pesan pagi...siang udah dteng
barangnya jg bagus....thx",5
Trimsssssss...................,5
barang Bagus pengiriman cepat ..........,5
sudah terima dan respon cepat.....................................,4
terimakasih gan barang cepat sampai dan sesuai dengan yang di orde,5
pelayanan memuaskan gan.....................................,4
barang sudah sampai tujuan dengan cepat gan mkash,4
Recsell👍👍👍👍,4
Keren bagus sangat berguna sekali,5
"Barang sesuai gambar, packing rapihlah,
Pengiriman standar dan harga terjangkau..

Terima kasih",5
"Belum dicoba, klo ok nanti bintang nya saya tambah",4
Recomended seller semoga awet,5
Barang oke terima kasih,3
"Barang bagus, berfungsi dgn baik....",5
Barangnya datang tepat waktu,5
Barang sudah diterima dengan baik dan pengiriman yg cepat. Terima kasih.,5
mantap gun tackernya gan,5
Gooooooooooooooooooood,5
Seller merespon dengan cepat dengan proses pengiriman yang juga cepat. Barang dipacking rapi dan berkualitas baru (bnib). Stapler gun sudah termasuk isinya dan ada 3 jenis ukuran.,5
Sesuai deskripsi......lumayan lah buat pertama kali,3
barang jelek copot&#34; terus tmpat taro isinya,2
👍👍👍👍👍👍👍,5
Barang dah sampe..cepat rapi dan respon penjual baik,5
"barang sudah diterima dalam kondisi bagus, sudah di test, terimakasih",5
Produk bagus dan respon cepat.,5
Terima kasih seller barang baru sampai.tapi kurang teliti.mohon d perbaiki lg ya supaya gak tertukar no resinya dgn yg lain....,3
"Mantap, rekomen seller, barang bagus",5
Barang sesuai deskripsi. Pengiriman cepat. Thanks 👍,5
"delivery cepat, packing rapih, produk sesuai deskripsi gambar, trims ya gan",5
"barang sudah sampai, 
langsung dicoba n lancar jaya. 
thanks seller.",5
Mantaps brng sesuai dan cepat responnya,5
"Barang sesuai gambar 
Respon penjual cepat",5
Barang di terima sesuai spek,5
"Barang telah tiba, sesuai gambar...",5
Barang sudah di terima thank u,5
Terimakasih gan barang sudah sampai,5
Barang sudaj sampai gan tks....,5
respon cepat... pengiriman juga cepat... sudah dites kualitas barang ok... trims,5
Terimakasihhhhhhh.............,5
"barang sdh dterima dgn baik, trima kasih..",5
"Barang sudah di terima, bagus, packing rapih makasih pelayanan nya",5
"Barang sudah sampai, bahan kokoh sptnya..udah di tes ke kayu..nempel kuat..untung dapet bonus isi nya..trims gan.",4
Packing sangat rapih dan barang sesuai yg dipesan,5
"Mantap, ajib, top, joss",5
Pengiriman &amp; packaging bagus. Sesuai foto &amp; deskripsi. Staple gun agak berat ketika dipake.,4
oke........... sesuai pesanan,5
makasih gan...barang sesuai ....,4
Barang bagus. Kalau beli isinya kira2 di Toko ATK ada yang jual nda ya?,5
"trims yaaa, barangx sdh sampai",5
barang sesuai walaupun belum di coba...makasih tokopedia,5
packing bagus barang sesuai diskripsi,3
mantab fast respon...,5
"barang sudah sampai, belum tak coba",5
baguuuus sesuai deskripsi dan gambar. belum dicoba sih semoga g ada masalah,5
Produk bekerja dengan baik &amp; kuat,5
Beli staples gak jual isinya... hanya sekali pake.... ckckck,1
Bagusbanget......................................................................,5
terimakasih barang sudah sampai,3
Puas pisan cepet pisan,5
"barang bagus sesuai deskripsi, packing rapi, pengiriman cepat. semoga tambah sukses gan, tks.",5
kirimannya sudah sampe.. makasih,4
Barang sesuai pesanan,5
Barang sdh sampai dgn cepat.. Sdh dicoba dan hasilnya ok... Sukses terus boss.....,5
"sesuai gambar, tp blm dicoba... semoga memuaskan....thanks",4
barangnya kurang bagus atomnya gak masuk semua,3
sangat cepat responnya..good job thanks,5
sudah saya terima dlm keadaan baik. trims,5
"Terima kasih, Thank You, Danke, Gracias, Kittos, Syukron.",5
"Brg sesuai gambar, pelayanan oke",5
Barang sdh sampai....,4
Barang sudah di terima dengan baik,4
barang sesuai gambar. kemasan baik dan pengiriman cepat. terima kasih,5
"Barang sesuai deskripsi,cuma terlambat di pengiriman.Semoga berkah",4
"Sesuai dgn deskripsi dan foto, dan sangat cocok bagi saya yg baru belajar.  Saya REKOMENDASIKAN Toko Rumah Baju Kita untuk belanja disini sebab komitmen dgn pembicaraan kita dichat. Setelah bayar barang langsung diproses dan dikirim hari itu juga untuk pengirimannya menggunakan Pos Indonesia sudah sesuai dengan waktu pengiriman yg saya pilih. Sy puas dengan pelayan kalian",5
good product. mantab jaya. recomended seller,5
Produk mantab pelayanan cepat.... Terimakasih,5
"Barang sesuai deskripsi, tolong pakingnya di pebaiki lagi  dikasih lakban biar aman, punya saya pakunya tercecer dimana2 kotaknya robek",4
"Barang sesuai deskripsi dan bagus, semoga awet. Thx",5
Packing Baik. Recommended Seller. Barang Sesuai Pesanan,5
"bagus...
nanti saya pesan lagi di toko ini",5
Mantap gan bagus...........,5
"Saya mau review utk packaging, produk dan penjual.
Pertama packaging sangat rapi, pakai double bubble dan dibalut lagi dengan karton tebal.
Kedua produk sangat berkualitas tinggi, harga standar dan kualitas juara, ketajaman ujung mata paku sangat tajam hingga mempermudah paku tembusnya.
Ketiga penjual sangat sangat ramah, baru kali pertama ini saya dilayani dengan sangat puas. Pertama saya beli barang ini dan ancur parah oleh pihak ekspedisi dan saya tidak langsung komplain tetapi coba utk diskusi dengan penjual dan hasilnya sangat memuaskan, bahwa penjual siap utk mengirim ulang tanpa membawa barang yg rusaknya itu.

Saya jamin menurut pengalaman pribadi kalo ini toko berani bersaing dari sisi harga dan sangat recommended seller.",5
"Respon dan pengiriman cepat, barang oke, good seller",5
"Pengiriman cepat,packing rapi dan barangnya sesuai dgn deskripsi",5
Bagus bagus bagusksksnsnjsjjsksmmsms,5
"Respon dan pengiriman cepat, barang bagus",5
"Selamat sampai tujuan,barang berfungsi normal,isi paket lengkap",5
"Recomended seller, respon cepat packing mantap, barang pesanan di buble wrap.... Josss",5
"Produknya ok,...............",5
"Kualitas okey, makasih Gan. Semua barang aman, dan sesuai deskripsi.",5
"mantab joos  tanpa kendala, sampai jg sangat cepat, packingnya aman kemasan dan produk mulus, top pkoknya sukses selalu",5
"barang sesuai pesanan, respon dan pengiriman cepat, good Seller",5
Barang sesuai posting.. siip,5
"berfungsi dengan baik, pengiriman dan respon cepat",5
Barang sesuai dengan gambar pengiriman cepat. Respon Seller 👍🏼👍🏼,5
"Recommended seller
...",5
"Barang bagus, respond cepat..",5
Barang sesuai order respon dan pengiriman cepat,4
Terima kasih pak. Barang nay sudah sampai,4
Bagusssssssssssss mksh,5
"Pas dengan air nailer nya gan .. thanks.

Recommended seller.",5
oke sip sudah dinpake.. mantap,5
Makasih juragan.......,4
MANTAB..!!! SALAM NINGRAT..!!!,5
"Best dah best best, penjual yg bner  best dah....",5
Barang datang sesuai pesanan. Packing rapi.,4
mantap barng oke dn cepat,4
"mkasih bnyak barang sesuai :) harga miring, kualitas baguss sekali, sukses ya gan",5
"Alhamdulillah paket sdh sampai, respon dan pelayanan cepat, recommended deh, mksh bos",4
Barang sesuai pesanan tapi kalok bisa tambahin bonus isi staplesnya,4
Produk Bagus..cuma isinya agak Susah..Produk sesuai deskripsi. Langsung dipakai ok dan mantul. Moga awet aja. Terima kasih,5
terima kasih paket sudah di terima,3
Gan jual isi steples nya.....,5
Barang bagus..........respon cepat...........maaf ulasannya lambat,4
barang sudah diterima.......................,4
makasih barang dah smpai dengan aman,4
"barang sudah sampai dengan packing rapih , terimakasih gan",4
alhamdulillah barang nya sdh kami terima dgn baik.  pesanan cepat sesuai dengan harapan.. 1 hari proses pengiriman..  mantap,4
"paket sudah saya terima dengan baik, terima kasih banyak atas pelayanannya!",5
barang udh nyampe gan. tks. Sukses terus HOUSE SPAREPART....,5
barang sudah sampai.. tetapi bingung cara penggunaannya krn tdk ada petunjuk pemakaian.. tulisannya bahasa China semuanya..,4
"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi  barangnya layak apa gak gitu loh.
(Isinya karatan semua)",1
Item is ok! Packing and delivery speed are also prima.Thanks,5
"Trima Kasih, sdh sy dtrima dgn baik..",5
"Pengiriman Cepat, packing aman tp Isi staplesnya pada karatan semua, beli 2 box",3
Makasih juragannnnnnnnnnnnn,5
"Sangat Puaasss, Barang sudah di terima dengan baik",5
"Terima kasih, barang sudah diterima dengan baik",5
paket sampai dengan cepat barang sesuai dengan gambar,4
"Makasih Agan Barang cepet sampai,isi mulus . recommended seller deh....next order lagi",5
Barang ssesuai gambar dan pengirimannya cepat..,5
ini jugaaa okeeeh...,4
"barang cepet sampai, terima kasih.",4
isinya ada yg karat. produk sesuai gambar,3
refillnya ada yang karatan tapi lumayan dah,4
isi steplessnya....sdh lama ya gan ada yg sdh agak berkarat...,4
terima kasih...  barang sudah diterima.  recommended seller...,5
barang dah sampe.  pengiriman cepat.,5
"barang dah sampai.. tapi sy salah tafsir, tak pikir 10mm utk lebarnya, ternyata kecil. ya sudahlah bisa buat yg lain. thx",3
siiip.......................... ;),4
"respon cepat, barang sesuai. thx gan",4
terima kasih barang sudah diterima dengan baik,4
terima kasih barang sudah sampai dengan baik..  pengirimannya agak lambat. sy pesan dan bayar tgl 13/04 sampai tgl 17/04.. jakarta to jakarta..  mungkin ini efek dari hari libur nasional jumat s/d minggu atau ada hal yang lain yah?,4
Maaf baru sempet ksh ulasan.. Brg udh diterima 2 hari yg lalu.. Mksh yaa.. :),5
Barang sesuai gambar... walau sedikit slow respon tp masih OK.. thx Gan,4
Sip gan mantap makasih ya,5
"Produk tidak sesuai, order prohex yg dikirim ini",2
"Barang oke, packing aman, proses kirim cepat. Trims",5
Sdh diterima. Thank you.,5
"Barang sdh sampai dengan selamat, packing jg rapih",4
"Okeh, sip, terima kasih...",4
"Fast respon, harga murah.. good n recomended seller deh..",5
barang bagus isi 10 lumayan,4
"Clear as described, .....Recommended Seller,....AAAA+++",5
Produk bagus dan penjual recommended,5
okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,5
"Thx gan pesanan udh sampe..
Recommended seller..",5
Terimakasih.............,5
Mantul fast respon kaya VR|46,5
"terima kasih ... barang telah diterima, semoga mantap ...akan order lagi",5
pas dengan yang saya cari ... barang bagus,5
Barang cocok dengan harapan ...,3
terimakasih barangnya sudah sampai...,4
"salah beli, kekecilan. kualitas lumayan lah",4
barang sesuai deskripsi..,5
mantap laah.....harga murmer.........,4
sesuai deskripsi dan pengiriman cepat.,4
trimaksh brang telah sampai dgn utuh.,5
Lumayan... Cocok dengan harganya,4
mantab.......................................,5
mantap ...................................,4
"Barang sudah sampai gan, langsung ane pakai buat mbenerin kursi",5
kiriman lama tapi sesuai pesanan,4
dah sampe. makasih gan.............................,4
recomended seller....thanks gan,5
pesanan sudah sampai... terima kasih....,5
Barang diterima sesuai pesanan...thx,5
biar bintang yg bicara.......   ....,5
OK................................................,4
fast respont...best seller....,5
Barang bagus sesuai pesanan mas thx,5
sesuai pesanan n proses cepat pertahankan y gan,5
brg sdh diterima.................,2
"Good seller, sukses selalu",5
blom kpake ga ccocok ama pluru nya trnyata,3
semoga awet...............,4
terimakasih........................................................................................,3
Terima kasih.........,5
barang sesuai harga n berfungsi dengan baik.,4
pesanan sesuai dengan gambar pengiriman cepat makasih..,4
"thnks gan,barang sesuai foto,,,mudah2han awet nih,,,blm coba karna blm ada isinya,,=)",5
"barang sdh sampai, belum dicoba semoga bisa pakai dan awet. thank u seller",5
"barang sudah sampai, bagus packing rapi",4
"Barang sesuai gambar, barang bagus, murah tapi tidak murahan",4
barang sdh ditrima dan berfungsi...manteb gan,5
thanks...thanks...thanks...thanks,4
Sesuau dengan pesanan semoga awet. Thx...,5
Barang sesuai pesanan.. mantapp...,5
bngung ini isi staples tembak nya ukuran nomer berapa ya,4
barang sudah sampai.. dan barang OK. terima kasih,4
"Sesuai gambar, sesuai kualitas dengan harga",3
Alat bagus berjalan normal bahannya bagus pelayanan ok...,5
siiip barang dah nyampai....... tengkyu,5
"Thanks bgt yaa say
suka bgt sama barang nyaa sesuai dan good QUALITY",5
Brg sudah sampai... Kualitas brg sesuai harga.. thanks..,5
Bad response...ga ada jawaban setiap di tanya..sangat sangat silent seller,3
tks.....................................,4
respon kurang cepat.lain kali respon agak cepat.thanks,3
Bagus .... pengiriman ok .... rekomen,5
barang sesuai pesanan mantafffffffff,4
"super ..
ga ribet,cepet,ga perlu nanya ada stok atau ga,saya langsung order .proses,sehari sampe ..
mantap..
barang murah tapi ga murahan..
joss
recommended seller",5
"sesuai dengan pesanan, sangat berguna",4
bagus dan cepat sampai barang nya oke,5
barang sudah sampai.terimakasih  next time order lagi,5
makasih ya.... kiriman dah sampe,4
"ya lumayanlah buat dekorasi semoga awet ya,",3
Harap informasi isi staples yg bagaimanakah yg cocok?,3
Okelahh..sesuai dgn deskripsi,5
Puas................. thx,5
"Produk sesuai deskripsi, foto 
Packing,pengiriman,RapiCepat, mantap
Sukses selalu
Terimakasih",5
"Cepet bgt nyampe order yg 4hari,,,1hari udah sampe👍👍👍👍👍",5
"Produk sesuai deskripsi, pengiriman cepat",5
"Barang kualitas bagus.
Sudah coba dipakai, bekerja seperti yg diharapkan.",5
Produk sesuai dengan gambar...mantap,5
"Mantap alatny, sekali jepret langsung tancap,pokokny recommended.",5
thanks barang dah sampe....,4
Original sesuai foto bagus mantap,5
Barang bagus sesuai.pesanan.,5
"Babut , maksudnya bagus , belanja disini , barang sesuai gambaran di otak saya",5
"asli rapide r-23, respon seller cepat",5
Produk sesuai dengan deskripsi.,5
Cepet abieasssssss gannnnnn,5
"cepet sampainya,recomend",5
"telah diterima dengan baik,, semoga awet barangnya",4
Recomemded seller........,5
Terima kasih sudah sampai,5
Pengiriman cepat packing rapi,5
Sesuai... maaf baru konfirmasi... fast respon...,5
recomsel....................,5
Bagus...berfungsi dg baik,4
Barang diterima sesuai order,4
"Respon cepat, packing rapi dan aman, makasih yaaa",5
"Produk cepet bgt sampainya,sesuai gambar..penjual ramah..trimakasih dan sukses terus",5
"Pengiriman cepat,  barang sesuai deskripsi,,  terima kasih",5
Paket mantab langsung dipakai dan hasilnya memuaskan ...recomended nih ..untuk order berikutnya...,5
Barangnya sesuai dengan harapan,4
"Alhamdhulillah pesanan k sudah sampai lebih cepat dari perkiraan, kualitas barang oke banget, sangat memuaskan.",5
"Barang sampai dengan selamat, packing rapih pake buble, pengiriman cepat.... top lah",5
Barang sesuai deskripsi dan response Seller cepat.,5
"Barang cepat sampai, pesan sabtu, minggu sampai, sesuai harapan, tks.",4
👍 barang berkualitas,5
barang baguuuus &amp; pengiriman cepat,5
Terimakasih.........................,5
"Lumayan untuk harga segitu,,, bagus juga dan bekerja dengan baik",4
"Pengiriman Cepat, dan barang sesuai pesanan",5
Good stuff .. Recommended !,5
Barang lom dicoba.. pasti bagus mantap dah..,5
"Barang dtg cepat,  berkualiras,  dan penjual respon. Ok trims..!",5
"Barang sudah diterima dgn baik, SGB lah, fungsi jg ok.",4
Barang bagus sangat kokoh,5
"bagus gan, barang nya kokoh",5
Barang sesuai dengan pesanan...mantab gan👍🏻,5
Brh sdh sampe. .trims gan..,5
Pengiriman sangat cepat dan kenasan baik,4
Good response recomended seller tapi barangnya kurang bagus.,3
barang sesuai pesanan dan berfungsing dengan baik... thanks ya...,4
"Orang counter, tukang jok, kuli bangunan, tukang cilok, tukang sate, driver grab, supir go car dll wajib beli ini.. pekerjaan jd mudah",5
Barangnya Memuaskan gan..,5
"barang sudah diterima dengan baik,pengiriman sesuai jadwal .. mantap 10 jempoool dah",4
Goood...................,5
"Trimakasih, gan barang dah sampai.. Top.",5
tidak bisa buat masang jok gak ke pake,2
"Staples nya sdh sampai, tks",4
"produk sesuai dengan foto
terima kasih gan",5
"Good, proses cepat..........",5
Respon cepat pengiriman super cepat barang sesuai mantap,5
"barang bagus,respon cepat.tx.",5
"Sudah dicoba, kualitas oke
Sesuai deskripsi, terima kasih",5
baguuuuuuuuuuussssssssssssssss kreeeeeeeeeeen,5
"Responnya cepet, barang sudah sampai, dicoba juga berfungsi baik,",5
cepat sampai mantab makasih,5
Cepat pengirimannya ea,5
"mantep,  barang bagus..  thanks ya..",4
"Seller oke, packing oke, barang fungsi dg baik. JNE nya yg busuk. Masa dari kardus luar smp isi dalamnya basah semua kena hujan. Kurir kamprett",5
"respon cepat,barang sesuai poto,dan berfungsi normal..",5
barang bagus terima kasih,5
sangat cepat dan barang persis contoh,5
barang oke sip recommended seller,5
thanks... recomended.........,5
"Thanks gan .. barang sdh sampe, "" isi straplesnya udh patah2 rejectn sprtinya"" .. semoga bermanfaat .. semoga mkin laris lapaknya.. makasih",5
"barang bagus sesuai gambar, &amp; sesuai harga, trims y",5
"Okey gan ,, makasih barang sudah mendarat",5
bagussssss.............................,4
barangx sdh sampai..packing dan barangx bgs bngt..mksh gan...,5
Staples sdh dicoba & berfungsi baik. Terima kasih seller.,5
Barang sudah sampai dan berfungsi dengan baik,5
"Respon seller dan pengiriman cepet banget, packing aman dan rapi, kualitas barangnya gak murahan dan berfungsi dengan baik. Recommended terima kasih!",4
"Paket sesuai pesanan,  gosend lagi bagus cepat terima kasih",5
terimakasih barang sudah sampe....pengirimannya cepat kemasan rapih....tks,4
"oke top markotop, proses cepat, malam bayar, siang sampai",5
"terima kasih buat segala pelayanannya, barangnya bagus, mau saya gunakan pasang klem kabel biar lebih cepat. ternyata brad nail f15 juga bisa masuk. salam sukses gan.",5
udah samapi...makasih banyak Juragan...,4
"sesuai, bagus, terima kasih...sukses terus",5
"barang sesuai, pengiriman ckp cepat.. mksh",5
"Barang sesuai deskripsi, penjual responsif, pengiriman cepat dan akurat. Terima kasih",5
"sesuai deskripsi....
Terima kasih",5
"Respon dan Proses Order cepat, barang Sesuai gambar dan pengunaan berfungsi baik",5
brg sdh sa.pai dan dicoba sdh ok,3
trims.....................................,4
"barang oke, sesuai berfungsi dgn bagus, semoga awet...
thx gan",5
lumayannnnnnnnnnnnnnnnnnnnnnnnnn,5
sesuai pesanan.  mantappppppppppppplllllllpppp,5
terimakasih paketnya sudah sampai... good saller recoment...,5
"Bagus barangnya, sesuai dengan deskripsi. Seller top. Thank you",5
paket sudah saya terima... terima kasih,4
thaks...............................................,4
"Barang sudah diterima, respon penjual cepat, pengiriman juga cepat. barang bagus,,,",5
barang dah sampe cuma blum di buka. mudah2an bagus..,4
Cepet bgt proses pngirimannya..,5
barangnya sudah sampai gan trims,5
Brg bagus.. Pertama agan na krm barang na gk dpt isi staples na gr2 kesalahan pabrik yg mn msh segel tp isi staples na gk ad.. Lngsng komplain lwt tokopedia..  agan na lngsng mnt krm balik n brg d krm yg sesuai.. Ongkir bulak balik d tanggung ama agan na.. Thx bgtt gan.. Bnr2 recomended seller..,5
"paket sudah sampai dengan selamat.
Barang bagus. dapet isinya 3 macam pula. tq",5
sudah sampai dengan selamat... fast response... thks...,5
Thank you. Proses pengiriman cepat.,5
makasih..responnya cepat sekali..kemarin sore pesan..tadi siang barang sampai..tks,4
"Produknya bagus bosque...........,...........,.............,.",5
kirim nya cepat... produk lumayan...,5
mantap..........................,5
"Alus uyy geus nepi deui, nuhun... Mudah2an awet",5
"Sipppppp
Thank&#39;s",5
Pengiriman tepat waktu terima kasih tambah sukses,4
Respon cepat...barang sesuai di gambar..4 jam udah sampe....makasih gan...,5
Barang bagis sesuai diskripsi,4
"Mantap, sesuai yg di iklankan",5
Ksiiiiiiiiiiiiiiiiiiiiiioiiiiiooooiiiiiiiiiip,5
mantap... fast respon... harga bersahabat.........,5
"terimakasih..
barang sudah sampai..",5
"Barang kurang bagus, kadang staples ga keluar, agak kurang bagus",3
mantap ... sesuai pesanan dan semoga awet,4
Staples nya o. K gan,4
"Fast respon... material bagus, smoga awet... Tq Gan.",5
terimakasih barang sudah sampai sesuai dengan pesanan dengan layanan dan respon yang cepat....,5
Barangbsudah sampai yujuan cepat parking bagus,4
ooooooooooooooookkkkkkkk............,4
"bagus, sesuai dengan pesanan dan berfungsi dengan baik.",5
Tooooooooooooooooooop bgt,4
Terimakasih barang sdh sy terima sesuai pesanan..,4
"Packing ok, respon cepat and barang sesuai deskripsi. Recsel..",5
"hari ini sy ke ltc Lindeteves, memang lbh baik online,dpt bebasongkir, sangat efisien belanja.
recommended seller",4
"Sudah diterima sesuai deskripsi, barang bagus",5
Udh 3 x lbh beli disini.Ga pernah kecewa bli disini..fast respon..pengiriman sangat cepet dan rapi..lanjutkan..recomended bgt,5
"Terima kasih, barang sudah sampai gannn",4
"Barang bagus, cepat sampai, recommended!",5
Sangat puas Belanja di toko ini,5
Barang sampai dengan selamat.,5
"barang sesuai, respon cepat... jempol dehhh...",4
Selalu puas dengan pelayanan toko ini dan tokopedia. Top seller,5
"Respon cepat,paket cepat sampai",5
Barang sdh sampai...fast respons 👍🏻,5
Recomended seller...bossss,5
Barang nya okey.... pengiriman juga cepat....mantapppp....makasih yah...,5
"barang sudah sampai, terima kasih",5
Pas... cocok... sesuai dengan gambar dan deskripsi,5
Barang sesuai pesanan.mksh,5
Belanja kedua kalinya. Selalu memuaskan. Respon cepat. Recommended seller 👍,5
Stlh trf lsg dikirim oleh wahana. Pake wahana ke serang cuma sehari sudah sampai.. recommended,5
